Image Number,Recongnized,notes
1,1,
2,1,
3,1,
4,1,
5,1,
6,1,
7,1,
8,1,
9,1,
10,1,
11,1,
12,1,
13,1,
14,1,
15,1,
16,1,
17,1,
18,1,
19,0,Included the socket
20,1,
21,1,
22,1,
23,1,
24,1,
25,1,
26,1,
27,1,
28,1,
29,1,
30,1,
31,1,
32,1,
33,1,
34,1,
35,1,
36,1,
37,0,part of keyboard only
38,0,blank image
39,0,part of keyboard only
40,0,blank image
41,0,part of keyboard only
42,0,part of keyboard only
43,0,part of keyboard only
44,0,part of keyboard only
45,0,blank image
46,0,part of keyboard only
47,0,part of keyboard only
48,0,part of keyboard only
49,0,part of keyboard only
50,0,part of keyboard only
51,0,part of keyboard only
52,0,part of keyboard only
53,0,part of keyboard only
54,0,blank image
55,0,part of keyboard only
56,0,blank image
57,0,part of keyboard only
58,0,part of keyboard only
59,0,part of keyboard only
60,0,part of keyboard only
61,0,blank image
62,0,part of keyboard only
63,0,part of keyboard only
64,0,blank image
65,0,blank image
66,0,blank image
67,0,blank image
68,0,part of keyboard only
69,0,blank image
70,0,blank image
71,0,part of keyboard only
72,0,blank image
73,0,blank image
74,0,wrong part recongized
75,0,part of keyboard only
76,0,part of keyboard only
77,0,part of keyboard only
78,0,part of keyboard only
79,0,part of keyboard only
80,0,part of keyboard only
81,0,wrong part recongized
82,0,part of keyboard only
83,0,wrong part recongized
84,1,
85,1,
